,2.0%,2.5%,3.0%,3.5%,4.0%
9.0%,1336.35,1430.20,1539.70,1669.11,1824.39
9.5%,1230.58,1310.45,1402.60,1510.11,1637.17
10.0%,1138.07,1206.69,1285.12,1375.60,1481.17
10.5%,1056.47,1115.93,1183.32,1260.33,1349.20
11.0%,983.97,1035.88,1094.27,1160.45,1236.09
11.5%,919.13,964.74,1015.73,1073.08,1138.08
12.0%,860.80,901.12,945.93,996.00,1052.34
